# Labelled corpus for entity extraction from free text.
#
# Format: expected TAB text. `expected` is `-` for a text that references no entity, or a
# comma-separated list of `kind:canonical_id`. Blank lines and `#` lines are ignored.
#
# Labelling rule: the label is what a careful reader would conclude from this text alone. Labels
# were written before the extractor was run against them, and no label has been changed since. What
# changed in response to what the extractor got wrong is `spec/extractors.yaml` — which is the point
# of measuring, and is only honest as long as the corpus is the thing that does not move.
#
#   - A distinctive identifier is labelled even where nothing anchors it. `PROJ-42` is a tracker
#     key to anyone who reads it, so a text naming one references a ticket whether or not the
#     extractor can tell. Those lines are recall, and the extractor is expected to miss some.
#   - An opaque token nobody could classify is not labelled. `ab12cd34` alone could be an order
#     reference, a hash prefix or a coupon; a reader cannot say, so neither can this file.
#   - Near-misses are `-`: ordinary words that satisfy a loose pattern, digit runs that are
#     timestamps or quantities, standards names shaped like tracker keys.
#
# Grow it. A false positive found in the wild belongs here as a `-` line before it is fixed.

# Anchored order references.
order_ref:ab12cd34	The order ab12cd34 was confirmed this morning.
order_ref:x7k29fq4	Refunded order x7k29fq4 after the buyer asked us to.
order_ref:q4r7s9t2	See reference q4r7s9t2 for the earlier attempt.
order_ref:a1b2c3d4e5	The order for a1b2c3d4e5 shipped a day late.
order_ref:7hq2m4t8	Cart 7hq2m4t8 was abandoned before payment.
order_ref:zz01aa55	The basket zz01aa55 held three items.
order_ref:n3v8b1c6	Checkout completed for n3v8b1c6 at the second attempt.
order_ref:ord9931xy,order_ref:ord4412ab	Orders ord9931xy and ord4412ab were both delayed.
order_ref:4kk92wp1	The refund on order 4kk92wp1 cleared overnight.
order_ref:b8x4n2m6	Reference: b8x4n2m6 covers the second attempt.
order_ref:9wq3z7k5	The order ref 9wq3z7k5 is the one to use.
order_ref:5mn8q2r7	Someone looked up the order 5mn8q2r7 twice.
order_ref:t3k8w2n9	Order t3k8w2n9, raised yesterday, is still open.
order_ref:h4j7l2p8	The order (h4j7l2p8) was split across two shipments.
order_ref:m2n4b6v8	Referenced order m2n4b6v8 in the handover note.
order_ref:ab12cd34	The order ab12cd34 appears twice: ab12cd34 in both exports.

# Anchored tracker keys.
ticket:PROJ-42	Closed ticket PROJ-42 after the fix landed.
ticket:CORE-1	Filed CORE-1 for the missing column.
ticket:OPS-118	The issue OPS-118 is still open.
ticket:WEB-7	Reopened WEB-7 because the report came back.
ticket:DATA-2049	Bug DATA-2049 traced to a stale cache.
ticket:PLAT-88	The tracker key PLAT-88 was wrong on the record.
ticket:QA-15	The issue qa-15 covers the flaky check.
ticket:SEC-9,ticket:NET-3	Tickets SEC-9 and NET-3 were folded into one.
ticket:CMS-14	The story CMS-14 needs an estimate.
ticket:INFRA-77	Closes INFRA-77 once the migration finishes.
ticket:OPS-4	Bugs like OPS-4 tend to come back.
ticket:WEB-31	The ticket, WEB-31, was closed by mistake.

# Anchored pull requests.
pull_request:owner/repo#7	Merged owner/repo#7 into the release branch.
pull_request:group/library#33	The pull request group/library#33 is ready for review.
pull_request:org/site#5	PR org/site#5 fixes the broken link.
pull_request:owner/tools#128	Reverted owner/tools#128 after the check failed.
pull_request:group/utils#9	The patch in group/utils#9 covers both cases.
pull_request:owner/repo#64	Backport owner/repo#64 to the previous line.
pull_request:org/site#11,pull_request:org/site#12	Two PRs, org/site#11 and org/site#12, landed together.
pull_request:group/library#40	The diff on group/library#40 is mostly generated.

# Anchored commits.
commit:owner/repo@a1b2c3d	Commit owner/repo@a1b2c3d fixed the regression.
commit:group/library@9f8e7d6c5b4a	The revision group/library@9f8e7d6c5b4a is the culprit.
commit:org/site@0123abc	Committed org/site@0123abc without a review.
commit:owner/tools@deadbee	The sha owner/tools@deadbee is what actually shipped.
commit:group/utils@abc1234	Cherry-picked group/utils@abc1234 onto the branch.
commit:owner/repo@fedcba9	Reverts owner/repo@fedcba9 and nothing else.

# Anchored deploys.
deploy:api/prod#12	Deployed api/prod#12 at the end of the window.
deploy:web/staging#412	The rollout web/staging#412 finished cleanly.
deploy:worker/canary#7	Released worker/canary#7 to a small slice of traffic.
deploy:api/staging#88	Promoted api/staging#88 after the checks passed.
deploy:queue/prod#31	The deploy for queue/prod#31 was rolled back.
deploy:db/prod#4	Rolled db/prod#4 forward again.
deploy:api/prod#13	Deployment api/prod#13 is queued behind this one.

# Anchored chat threads.
chat_thread:general/1700000000.0001	The thread general/1700000000.0001 has the details.
chat_thread:support/1699999999.4321	Replied in support/1699999999.4321 with the workaround.
chat_thread:releases/1700003600.0007	The conversation releases/1700003600.0007 says otherwise.
chat_thread:incidents/1700007200.0002	Discussion incidents/1700007200.0002 covers the same fault.
chat_thread:general/1700010800.0009	Thread general/1700010800.0009 was archived early.

# More than one reference in one text.
deploy:api/prod#12,ticket:PROJ-42	Deployed api/prod#12 for ticket PROJ-42 after the check.
pull_request:owner/repo#7,deploy:api/prod#12	Merged owner/repo#7 and deployed api/prod#12 in one go.
order_ref:ab12cd34,chat_thread:general/1700000000.0001	The order ab12cd34 came up in thread general/1700000000.0001.
commit:owner/repo@a1b2c3d,ticket:DATA-2049	Commit owner/repo@a1b2c3d closes DATA-2049 as well.
pull_request:org/site#5	Reverted org/site#5 because the numbers looked wrong.
ticket:OPS-118,order_ref:x7k29fq4	Issue OPS-118 was raised against order x7k29fq4.
deploy:web/staging#412,chat_thread:support/1699999999.4321	Rollout web/staging#412 was discussed in thread support/1699999999.4321.

# Ordinary words that satisfy the order_ref pattern.
-	The order was refundable under the older terms.
-	Order processing runs in the background overnight.
-	The order form uses javascript for validation.
-	A reference implementation shipped in the container image.
-	The order sits above the threshold we agreed on.
-	Order status showed everything as unresolved.
-	Reference the dashboard before the standup.
-	The order line was duplicated by the retry.
-	Checkout timestamps drifted by about a second.
-	The cart contents survived the redeployment.
-	Order confirmation went out immediately.
-	The reference documentation is out of date.
-	Refs pointing at the deleted branch were pruned.
-	The basket total included the adjustment.
-	Order volumes were unremarkable last quarter.
-	The reference here is deliberately ambiguous.
-	Checkout behaviour changed after the migration.
-	Order handling moved to the newer scheduler.

# Digit runs: timestamps, quantities, build numbers.
-	The order was placed at 1700000000 by the sidecar.
-	Reference 20240115 in the daily export.
-	The order covered 250000 units in total.
-	Build 4127781 was cut from the same branch.
-	The deploy took 1700000000 milliseconds, apparently.
-	Order quantity 100000 looks like a typo.
-	The reference clock read 1699999999 at the time.
-	Ticket volume hit 120000 over the weekend.
-	The rollout paged 12025551234 by mistake.
-	Cart size 30000 is above anything seen before.

# Technical vocabulary that mixes letters and digits.
-	The reference sha256sum did not match the manifest.
-	Order payloads are base64encoded on the wire.
-	The reference iso8601format was wrong in the header.
-	Refs to the md5checksum were dropped in transit.
